iter	Passed	Remaining
0	1	145
1	3	147
2	4	138
3	5	126
4	6	127
5	8	127
6	9	128
7	11	129
8	12	129
9	14	128
10	15	128
11	17	127
12	18	126
13	20	125
14	21	120
15	22	116
16	23	112
17	23	108
18	24	104
19	25	101
20	26	99
21	27	96
22	28	94
23	28	91
24	29	89
25	30	87
26	31	84
27	32	82
28	33	80
29	33	79
30	34	77
31	35	76
32	36	75
33	38	74
34	39	73
35	41	73
36	42	72
37	43	70
38	44	69
39	45	67
40	46	66
41	46	64
42	47	62
43	48	61
44	49	60
45	50	59
46	52	59
47	54	58
48	55	58
49	57	57
50	58	56
51	59	54
52	60	53
53	61	52
54	61	50
55	62	49
56	63	47
57	64	46
58	65	45
59	66	44
60	67	42
61	68	41
62	68	40
63	69	39
64	70	38
65	71	36
66	72	35
67	73	34
68	74	33
69	75	32
70	76	31
71	76	29
72	77	28
73	78	27
74	79	26
75	80	25
76	81	24
77	82	23
78	82	22
79	83	20
80	84	19
81	85	18
82	86	17
83	87	16
84	88	15
85	89	14
86	89	13
87	90	12
88	91	11
89	92	10
90	93	9
91	94	8
92	95	7
93	96	6
94	96	5
95	97	4
96	98	3
97	99	2
98	100	1
99	101	0
